sku,marca,descripcion,monto_total,unidades_totales,meses_con_venta,monto_acum,pct_acum,categoria_abc
325-120-030-000,CONDOR,GRAPA PARA CABLE DE VIA FERRATA 1/4,232455,410,3,522697238.63978493,0.9523040765990207,C
883-120-040-000,CONDOR,SEGURO FUNDIDO PARA MOSQUETON CINTA G8 13mm,232298,31,3,522929536.63978493,0.9527273012040741,C
928-110-230-150,CONDOR,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 15m,230412,10,1,523159948.63978493,0.9531470896985922,C
559-360-070-024,CONDOR,"CORDINO DE ANCLAJE GU/GU 1R 6X19 SC ENGR 5/8 X 2,4m",230190,10,1,523390138.63978493,0.9535664737304703,C
334-110-030-000,CONDOR,CONECTOR GIRATORIO G8 PARA CINTA 10mm,229719,23,5,523619857.63978493,0.9539849996456665,C
515-410-110-013,CONDOR,"ANILLO DE CINTA CONTINUO QOS EE1-601 X 1,3m - 1,6m",227324,2,1,523847181.63978493,0.9543991621013017,C
559-350-030-400,CONDOR,CORDINO DE ANCLAJE GU/GU 1R 6X19 FC GALV 3/8 X 40m,225062,2,1,524072243.63978493,0.9548092034105791,C
397-170-020-090,CONDOR,CINTA G8 DOG 8mm X 9m,223052,1,1,524295295.63978493,0.955215582693252,C
541-120-006-060,CONDOR,CINTA TUBULAR EE 6t X 6m,221569,2,1,524516864.63978493,0.9556192600926143,C
541-120-002-060,CONDOR,CINTA TUBULAR EE 2t X 6m,219400,4,1,524736264.63978493,0.9560189857826706,C
264-270-020-000,CONDOR,CRAMPON TIPO ARANA RV-240 ALLOY STEEL,219056,4,2,524955320.63978493,0.9564180847378255,C
515-410-220-010,CONDOR,CINTA PLANA QOS EE2-602 X 1m,218897,1,1,525174217.63978493,0.9568168940102789,C
902-020-060-000,CONDOR,WINCHE MANUAL 2t CON CUERDA DE IZAJE MODIFICADA 6m,218534,1,1,525392751.63978493,0.9572150419316588,C
611-510-030-030,CONDOR,CUERDA G8 DE ANCLAJE SGG 10mm X 3m,218218,4,2,525610969.63978493,0.9576126141314433,C
902-020-060-060,CONDOR,WINCHE MANUAL 2t CON CUERDA DE IZAJE Y MANDO MODIFICADA 6m,214013,1,1,525824982.63978493,0.958002525225819,C
264-300-040-000,CONDOR,CRAMPON 8 PUNTAS SIN ANTIBOTAS 1230 CARBON STEEL,213282,7,1,526038264.63978493,0.958391104508529,C
264-270-010-000,CONDOR,CRAMPON TIPO ARANA RV-230 ALLOY STEEL,213157,3,2,526251421.63978493,0.9587794560532663,C
424-100-030-100,CONDOR,CINTA PLANA EE2-603 X 10m TIPO 3,211772,4,1,526463193.63978493,0.9591652842612636,C
397-260-010-015,CONDOR,"CINTA G8 DOSH2A 6mm X 1,5m",210339,3,2,526673532.63978493,0.9595485016811394,C
739-100-010-000,CONDOR,POLEA DE RESCATE DOBLE CON MOSQUETON 1t,209018,4,1,526882550.63978493,0.9599293123661176,C
397-260-010-050,CONDOR,CINTA G8 DOSH2A 6mm X 5m,208327,2,1,527090877.63978493,0.9603088641155814,C
541-120-005-015,CONDOR,"CINTA TUBULAR EE 5t X 1,5m",207355,6,1,527298232.63978493,0.9606866449745678,C
515-410-220-012,CONDOR,"ANILLO DE CINTA CONTINUO QOS EE2-602 X 1,2m - 1,4m",205699,1,1,527503931.63978493,0.9610614087608891,C
397-260-030-040,CONDOR,CINTA G8 DOSH2A 10mm X 4m,201825,1,1,527705756.63978493,0.9614291144919539,C
921-010-005-000,CONDOR,AMORTIGUADOR CAIDA CORTO,201748,17,2,527907504.63978493,0.9617966799364274,C
264-260-010-000,CONDOR,CRAMPON TIPO ARANA KND-50 ALLOY STEEL,199669,7,3,528107173.63978493,0.9621604576429355,C
640-110-020-000,CONDOR,GUARDACABO PARA CUERDA 5/16,196115,186,5,528303288.63978493,0.9625177603033975,C
415-100-020-200,CONDOR,CINTA PLANA EE1-602 X 20m TIPO 3,193648,4,1,528496936.63978493,0.9628705683272263,C
397-490-010-027,CONDOR,"CINTA G8 QOSH4A 6mm X 2,7m",193514,1,1,528690450.63978493,0.9632231322159481,C
515-201-210-070,CONDOR,CINTA PLANA DO TEXTIL EE2-601 CON PROTECCION TUBULAR X 7m,193121,3,2,528883571.63978493,0.963574980096483,C
820-140-100-000,CONDOR,"CABLE DE MANDO PARA WINCHE MANUAL 5mm X 23,6 mm",192760,70,1,529076331.63978493,0.9639261702697522,C
190-100-080-000,CONDOR,CABLE 6X19 FC ENGR 5/8,191660,50,1,529267991.63978493,0.9642753563488597,C
541-120-003-040,CONDOR,CINTA TUBULAR EE 3t X 4m,187760,4,1,529455751.63978493,0.9646174370032125,C
397-450-020-015,CONDOR,"CINTA G8 QOSH 8mm X 1,5m",185836,1,1,529641587.63978493,0.9649560123146861,C
334-100-010-000,CONDOR,CONECTOR GIRATORIO G8 6mm,185013,37,5,529826600.63978493,0.965293088199346,C
424-100-020-025,CONDOR,"CINTA PLANA EE2-602 X 2,5m TIPO 3",184739,14,7,530011339.63978493,0.9656296648823693,C
397-490-010-015,CONDOR,"CINTA G8 QOSH4A 6mm X 1,5m",183635,1,1,530194974.63978493,0.9659642301836159,C
541-130-004-010,CONDOR,CINTA TUBULAR EN 4t X 1m,183290,10,1,530378264.63978493,0.9662981669280571,C
433-100-030-120,CONDOR,CINTA PLANA EE3-603 X 12m TIPO 3,183071,2,1,530561335.63978493,0.9666317046755699,C
631-180-120-000,CONDOR,CONECTOR RAPIDO RECTO ROSCADO 1,176632,11,5,530737967.63978493,0.966953511184622,C
515-200-220-068,CONDOR,"CINTA PLANA DO EE2-602 X 6,8m",176184,2,1,530914151.63978493,0.9672745014807792,C
424-100-020-080,CONDOR,CINTA PLANA EE2-602 X 8m TIPO 3,172786,6,2,531086937.63978493,0.9675893009478808,C
264-270-040-000,CONDOR,CRAMPON TIPO ARANA RV-247 ALLOY STEEL,171789,3,2,531258726.63978493,0.9679022839769104,C
433-100-020-050,CONDOR,CINTA PLANA EE3-602 X 5m TIPO 3,169800,8,2,531428526.63978493,0.9682116432393149,C
