sku,descripcion,K,h,p,s_opt,S_opt,costo_opt,nivel_servicio_opt,cumple_objetivo
397-490-040-060,CINTA G8 QOSH4A 13mm X 6m,10909.992753623188,17000.084,180605.37410526315,0,1,15308.391987117551,1,TRUE
264-290-180-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,10909.992753623188,2134.8657894736843,22707.208833477405,11,14,30431.599948203537,0.9511643597014717,TRUE
541-120-004-015,"CINTA TUBULAR EE 4t X 1,5m",10909.992753623188,523.6675714285715,5573.669932330828,22,33,18221.248601083666,0.9543523241799123,TRUE
901-170-030-000,"WINCHE DE PALANCA 1,5t",10909.992753623188,2743.546923076923,29793.524076411686,10,11,35540.86373754872,0.9505296770919995,TRUE
264-240-160-000,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,10909.992753623188,5246.761481481482,55878.16714142404,9,10,53538.24530018053,0.9526612400735351,TRUE
424-100-020-020,CINTA PLANA EE2-602 X 2m TIPO 3,10909.992753623188,155.08047505938242,1713.311078107894,54,74,15349.823805362816,0.9517299041781894,TRUE
433-100-020-010,CINTA PLANA EE3-602 X 1m TIPO 3,10909.992753623188,214.69703180212014,2372.984388523736,36,45,13204.106847384648,0.9528781730537652,TRUE
613-200-060-000,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,10909.992753623188,325.1092972972973,3510.8733306230934,33,37,15406.451207050595,0.9518817598237241,TRUE
631-130-080-000,CONECTOR RAPIDO OVALADO ROSCADO 5/8,10909.992753623188,91.900416,1022.6878097931562,90,120,14358.37608015429,0.9500741912546031,TRUE
424-100-020-040,CINTA PLANA EE2-602 X 4m TIPO 3,10909.992753623188,272.8647804878049,3026.7462131627076,21,37,12046.74547427002,0.9547713115568912,TRUE
901-140-020-000,WINCHE MANUAL 1t,10909.992753623188,1815.322142857143,19818.69183591001,5,9,16254.600526822724,0.951767062763959,TRUE
541-120-002-035,"CINTA TUBULAR EE 2t X 3,5m",10909.992753623188,543.0017582417582,5794.023609022555,24,33,18612.614591777034,0.9529847564589403,TRUE
433-100-030-080,CINTA PLANA EE3-603 X 8m TIPO 3,10909.992753623188,1013.3633333333333,10991.043808412649,9,13,15072.152430411361,0.9518486437554374,TRUE
424-100-020-015,"CINTA PLANA EE2-602 X 1,5m TIPO 3",10909.992753623188,158.80609271523178,1765.039504021026,32,49,11218.647903827572,0.9515804887555206,TRUE
901-140-010-000,"WINCHE MANUAL 0,5t",10909.992753623188,1699.48,18546.003347641195,2,8,11409.262861981733,0.9521565981294685,TRUE
901-140-050-000,WINCHE MANUAL 3t,10909.992753623188,3053.6813333333334,32932.13931212673,26,27,84564.49660832618,0.9510222223509437,TRUE
901-170-070-000,WINCHE DE PALANCA 9t,10909.992753623188,11335.165,121123.72460526315,0,1,11240.682278582932,1,TRUE
631-130-140-000,CONECTOR RAPIDO OVALADO ROSCADO 1,10909.992753623188,275.1485714285714,3085.1691526539967,12,34,9503.783481748329,0.9544790250250094,TRUE
433-100-020-020,CINTA PLANA EE3-602 X 2m TIPO 3,10909.992753623188,260.6059880239521,2937.986122923113,18,37,10642.87941981743,0.9585452314944429,TRUE
694-190-020-000,ANCLA VERTICAL ARTICULADA 2t,10909.992753623188,2224.943157894737,23836.404831101943,11,12,28160.569390750148,0.95165536357739,TRUE
901-170-025-000,WINCHE DE PALANCA 1t,10909.992753623188,2157.782222222222,23595.874447898997,8,9,23260.616170164405,0.9505842165272845,TRUE
442-100-040-060,CINTA PLANA EE4-604 X 6m TIPO 3,10909.992753623188,2155.4933333333333,23567.7015392914,3,6,13239.769520765467,0.9508238047870566,TRUE
433-100-020-060,CINTA PLANA EE3-602 X 6m CON PROTECCION TUBULAR,10909.992753623188,662.7035087719298,7290.719493816559,8,15,11071.468048190536,0.952530774794633,TRUE
901-170-020-000,"WINCHE DE PALANCA 0,75t",10909.992753623188,1672.9663636363637,18424.84996210277,2,7,10285.937919436637,0.9554728666549179,TRUE
271-190-020-000,ANCLAJE SOLDABLE 3t,10909.992753623188,197.03043956043956,2190.754947588819,24,40,9750.422485803641,0.9541457869410394,TRUE
433-100-020-080,CINTA PLANA EE3-602 X 8m TIPO 3,10909.992753623188,736.5945833333333,7997.259413879987,12,18,14156.292665003304,0.9500944481002842,TRUE
901-140-040-000,WINCHE MANUAL 2t,10909.992753623188,2496.15,27111.449421413487,2,4,11302.303818551642,0.9729461020664765,TRUE
334-100-030-000,CONECTOR GIRATORIO G8 8mm,10909.992753623188,117.74261168384879,1327.496158799931,40,53,8769.3050547059,0.9516348462475174,TRUE
631-130-100-000,CONECTOR RAPIDO OVALADO ROSCADO 3/4,10909.992753623188,159.86689655172412,1836.8587517279798,12,52,7554.057418908271,0.9512542876201673,TRUE
433-100-020-015,"CINTA PLANA EE3-602 X 1,5m TIPO 3",10909.992753623188,284.6119298245614,3191.497735558903,10,31,8485.997125474112,0.9524844696285374,TRUE
739-110-012-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 2t,10909.992753623188,1886.9675,20733.888521834604,1,6,9172.947749445777,0.9512083835702374,TRUE
613-450-040-000,MOSQUETON DE SEGURO CONECTOR G8 10mm,10909.992753623188,582.1478431372549,6525.178724294015,7,17,9725.26760639391,0.9502874014300319,TRUE
424-100-020-010,CINTA PLANA EE2-602 X 1m TIPO 3,10909.992753623188,144.22980198019803,1670.6870870244918,15,43,7757.188487116187,0.9505491156019159,TRUE
