sku,p_venta,n_pos,dist_ganadora,aic_normal,aic_gamma,aic_lnorm,par1,par2,descripcion,monto_total
424-100-020-040,0.8888888888888888,16,lnorm,125.2415781195257,115.9008091017231,114.84596618799115,2.1983981511241626,0.8577863318767261,CINTA PLANA EE2-602 X 4m TIPO 3,2796864
901-140-020-000,0.5555555555555556,10,lnorm,46.63392140682517,41.25054333712294,40.155646208542585,0.8030084094267562,0.660892138179576,WINCHE MANUAL 1t,2541451
541-120-002-035,0.2222222222222222,4,normal,35.59396917124249,36.9964428630588,38.85580714693596,22.75,12.55736835487436,"CINTA TUBULAR EE 2t X 3,5m",2470658
433-100-030-080,0.4444444444444444,8,gamma,48.232961193561394,46.66672062827691,47.4735387300667,2.0631460751771638,0.34383819388936987,CINTA PLANA EE3-603 X 8m TIPO 3,2432072
424-100-020-015,0.7777777777777778,14,gamma,126.64156566904612,117.88479126396786,118.68577195623655,1.1218188923110666,0.0520135348955993,"CINTA PLANA EE2-602 X 1,5m TIPO 3",2397972
901-140-010-000,0.5,9,gamma,35.779218222723614,34.437097472881675,34.64347190297852,4.459380502573914,1.486388078110758,"WINCHE MANUAL 0,5t",2294298
901-140-050-000,0.3333333333333333,6,lnorm,30.1618216111229,25.859394612044788,24.628084018107035,0.6229449363805614,0.7240632937750406,WINCHE MANUAL 3t,2290261
901-170-070-000,0.2222222222222222,4,constante,NA,NA,NA,1,0,WINCHE DE PALANCA 9t,2267033
631-130-140-000,0.8333333333333334,15,gamma,103.35219764178167,101.38162010240806,103.90022790644085,2.0783096515862862,0.19366931513114205,CONECTOR RAPIDO OVALADO ROSCADO 1,2214946
433-100-020-020,0.8888888888888888,16,gamma,115.08031968962254,109.81961891202067,111.47709794013335,1.4547775419933986,0.13937660938601615,CINTA PLANA EE3-602 X 2m TIPO 3,2176060
694-190-020-000,0.2222222222222222,4,lnorm,27.83876471373766,24.21030722269941,22.959597911548453,1.1610977247853431,0.810514118027896,ANCLA VERTICAL ARTICULADA 2t,2113696
901-170-025-000,0.4444444444444444,8,lnorm,32.96509124527182,29.977993841401922,29.277037094858077,0.5984364678477557,0.6456096707747492,WINCHE DE PALANCA 1t,1942004
