sku,descripcion,monto_total,dist_ganadora,dlt_media_val,dlt_sd,dlt_p50,dlt_p90,dlt_p95
264-290-100-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,4475410,gamma,2.182408524357692,3.5143202224140917,0,6.59663229650954,9.18469736479036
928-110-040-000,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,4253391,gamma,12.740472454249053,14.32431526749998,8.732448514471235,30.310292140409647,40.51715174283259
910-100-020-000,TENSOR CHICHARRA 3/8 - 1/2,4251503,lnorm,5.277025570903995,15.640227253648437,0,13.960050184349932,24.870030006405546
397-490-040-060,CINTA G8 QOSH4A 13mm X 6m,4250021,constante,0.15123,0.28578194641851773,0,0.5,1
264-290-180-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,4056245,lnorm,1.1347012618723862,2.883517786406096,0,3.770646060934904,6.2966703918836755
541-120-004-015,"CINTA TUBULAR EE 4t X 1,5m",3665673,normal,4.311545527273299,8.596133381404861,0,16.55232940200906,23.036312789361926
901-170-030-000,"WINCHE DE PALANCA 1,5t",3566611,lnorm,0.7744686046770439,1.0654123948055219,0.4772689285791545,1.959303456434607,2.7199464388629053
264-240-160-000,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,3541564,lnorm,0.4256457289474314,1.0749226267972887,0,1.4542874391498122,2.3274431179234645
424-100-020-020,CINTA PLANA EE2-602 X 2m TIPO 3,3264444,gamma,13.202511384423644,17.082941409685304,7.506577430862298,32.62443399065609,47.07446886202819
433-100-020-010,CINTA PLANA EE3-602 X 1m TIPO 3,3037963,lnorm,8.201283376429823,35.095573964184865,2.3618528962155474,18.838991671271142,31.97219155037103
613-200-060-000,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,3007261,lnorm,5.917531347494965,16.844245154515765,0,14.662706943029828,28.201436639203926
631-130-080-000,CONECTOR RAPIDO OVALADO ROSCADO 5/8,2871888,lnorm,18.715428172070247,38.34888138970364,7.761389444498761,43.18552680085667,70.1290745363617
424-100-020-040,CINTA PLANA EE2-602 X 4m TIPO 3,2796864,lnorm,6.367636309276641,8.74598818154745,3.72194451479038,14.74832042790227,21.418398071940803
901-140-020-000,WINCHE MANUAL 1t,2541451,lnorm,0.8270036330302551,1.2760746097308646,0.3354762674701111,2.384289038208687,3.2786799725498166
541-120-002-035,"CINTA TUBULAR EE 2t X 3,5m",2470658,normal,2.927915438822389,7.223475179995096,0,12.045123683894483,18.38072425572222
